cycle,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1,0.020574840812,0.039823549232,0.027136731147,0.0099,0.030972159986,0.02698325123,0.04655550702,0.0099,0.050672178797,0.048495240949,0.0099,0.0099,0.050924436999,0.0099,0.02698325123,0.016943807305,0.027136731147,0.0099,0.04182833154,0.0099
2,0.042329903133,0.14126048441,0.073640170499,0.009801,0.088783954407,0.072809538142,0.19722005757,0.009801,0.22269910036,0.21047876612,0.009801,0.009801,0.21440725833,0.009801,0.072809538142,0.028707706141,0.073640170499,0.009801,0.16352721476,0.009801
3,0.071482268534,0.30364988544,0.1538915457,0.00970299,0.15234973902,0.10804426852,0.43408710749,0.00970299,0.52309739938,0.5038432985,0.00970299,0.00970299,0.42789097396,0.00970299,0.19646331606,0.042666842656,0.17070825765,0.00970299,0.36587232125,0.00970299
4,0.094051272394,0.41981251168,0.22899945308,0.0096059601,0.20872568881,0.12138626877,0.6920817827,0.0096059601,0.78887901944,0.78421319277,0.0096059601,0.0096059601,0.62860124302,0.0096059601,0.25561338714,0.054276232911,0.24124504641,0.0096059601,0.46724240007,0.0096059601
5,0.10269717608,0.42279741586,0.33626655642,0.009509900499,0.28320945092,0.13498612764,0.70841537592,0.009509900499,0.80156447788,0.79884191008,0.009509900499,0.009509900499,0.64648465265,0.009509900499,0.29837457295,0.060733421836,0.30403939509,0.009509900499,0.46714634047,0.009509900499
6,0.11125662073,0.42274914041,0.34502479718,0.009414801494,0.29750707464,0.14986869779,0.7145635047,0.009414801494,0.80849748528,0.80573438592,0.009414801494,0.009414801494,0.65230685529,0.009414801494,0.31502712525,0.066156845798,0.32395694234,0.009414801494,0.46705124146,0.009414801494
7,0.11973047093,0.42270134772,0.34547475734,0.0093206534791,0.30225828886,0.15866362969,0.7155682791,0.0093206534791,0.81272564664,0.80989924274,0.0093206534791,0.0093206534791,0.65812137314,0.0093206534791,0.32189363064,0.072031310779,0.3293361694,0.0093206534791,0.46695709345,0.0093206534791
8,0.12811958264,0.42265403295,0.34588512884,0.0092274469443,0.3023629068,0.16531951692,0.71618781574,0.0092274469443,0.81436803637,0.8115329693,0.0092274469443,0.0092274469443,0.66023082711,0.0092274469443,0.32238895132,0.078394280386,0.33133306179,0.0092274469443,0.46686388691,0.0092274469443
9,0.13642480322,0.42260719132,0.34627338614,0.0091351724748,0.30246647855,0.17122499545,0.71680115701,0.0091351724748,0.81599400221,0.81315035858,0.0091351724748,0.0091351724748,0.66104049126,0.0091351724748,0.32287931878,0.085286258499,0.33175072106,0.0091351724748,0.46677161244,0.0091351724748
10,0.1446469716,0.42256081812,0.34665776088,0.0090438207501,0.30256901459,0.17129476337,0.71740836487,0.0090438207501,0.81724174106,0.81475157398,0.0090438207501,0.0090438207501,0.66184205877,0.0090438207501,0.32336478258,0.09275076301,0.33216420375,0.0090438207501,0.46668026072,0.0090438207501
11,0.15278691829,0.42251490864,0.34703829186,0.0089533825426,0.30267052527,0.1713638336,0.71800950065,0.0089533825426,0.81847700253,0.81633677722,0.0089533825426,0.0089533825426,0.6626356106,0.0089533825426,0.32384539173,0.095768715277,0.3325735516,0.0089533825426,0.46658982251,0.0089533825426
12,0.15700617674,0.42246945827,0.34741501754,0.0088638487172,0.30277102084,0.17143221314,0.71860462507,0.0088638487172,0.81903233528,0.81790612843,0.0088638487172,0.0088638487172,0.66342122691,0.0088638487172,0.32432119479,0.098820247899,0.33297880598,0.0088638487172,0.46650028868,0.0088638487172
13,0.16128716183,0.42242446239,0.34778797596,0.00877521023,0.30287051145,0.17149990887,0.71919379824,0.00877521023,0.81923160754,0.81945978613,0.00877521023,0.00877521023,0.66419898706,0.00877521023,0.32479223982,0.10194778236,0.33338000781,0.00877521023,0.4664116502,0.00877521023
14,0.16259052467,0.42237991647,0.3481572048,0.0086874581277,0.30296900716,0.17156692766,0.71977707969,0.0086874581277,0.81942888708,0.82099790725,0.0086874581277,0.0086874581277,0.6649689696,0.0086874581277,0.32525857441,0.10515306078,0.33377719763,0.0086874581277,0.46632389809,0.0086874581277
15,0.16300392662,0.42233581602,0.34852274134,0.0086005835464,0.30306651791,0.17163327625,0.72035452832,0.0086005835464,0.81960277885,0.82252064716,0.0086005835464,0.0086005835464,0.66573125232,0.0086005835464,0.32572024564,0.10634457923,0.33417041554,0.0086005835464,0.46623702351,0.0086005835464
