cycle,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1,0.020657840812,0.039906549232,0.027219731147,0.009983,0.031055159986,0.02706625123,0.04663850702,0.009983,0.050755178797,0.048578240949,0.009983,0.009983,0.051007436999,0.009983,0.02706625123,0.017026807305,0.027219731147,0.009983,0.04191133154,0.009983
2,0.042672096068,0.14176533802,0.074091328586,0.0099660289,0.089126056072,0.073258148469,0.19782335058,0.0099660289,0.22329753792,0.2110893644,0.0099660289,0.0099660289,0.21495822548,0.0099660289,0.073258148469,0.028989637104,0.074091328586,0.0099660289,0.16408989555,0.0099660289
3,0.072200301698,0.30432928385,0.15410152362,0.0099490866509,0.15288979635,0.10834908157,0.43553841534,0.0099490866509,0.52479007903,0.50558479333,0.0099490866509,0.0099490866509,0.42918278436,0.0099490866509,0.19828184531,0.043162737085,0.17165691548,0.0099490866509,0.36706759081,0.0099490866509
4,0.09478475347,0.4213265127,0.22918933191,0.0099321732036,0.20983254081,0.11157101209,0.69267720882,0.0099321732036,0.78946911429,0.78484716206,0.0099321732036,0.0099321732036,0.62920773671,0.0099321732036,0.25624562792,0.05492392466,0.24182432141,0.0099321732036,0.46756861317,0.0099321732036
5,0.096253310179,0.4230393224,0.3371434902,0.0099152885091,0.28553729684,0.11478746532,0.70837694156,0.0099152885091,0.79248346367,0.78786936876,0.0099152885091,0.0099152885091,0.63249453043,0.0099152885091,0.29818846438,0.06138777569,0.3033484511,0.0099152885091,0.46755172848,0.0099152885091
6,0.097719370342,0.42303070433,0.34330852793,0.0098984325187,0.2978383931,0.11799845059,0.71412692673,0.0098984325187,0.79549268866,0.7908864377,0.0098984325187,0.0098984325187,0.63577573661,0.0098984325187,0.31531124256,0.067011306394,0.32272869269,0.0098984325187,0.46753487249,0.0098984325187
7,0.099182938202,0.42302210091,0.34338793881,0.0098816051834,0.30023636575,0.12120397719,0.71423469826,0.0098816051834,0.79580119094,0.79132117876,0.0098816051834,0.0098816051834,0.63905136473,0.0098816051834,0.32182041472,0.073139762562,0.32364524932,0.0098816051834,0.46751804515,0.0098816051834
8,0.100644018,0.42301351212,0.3434672147,0.0098648064546,0.302007779,0.12440405438,0.71434228658,0.0098648064546,0.79610916877,0.79163095967,0.0098648064546,0.0098648064546,0.64232142429,0.0098648064546,0.32298599423,0.07981842515,0.3245602478,0.0098648064546,0.46750124642,0.0098648064546
9,0.10210261396,0.42300493793,0.34354635582,0.0098480362836,0.30202598992,0.12759869145,0.71444969199,0.0098480362836,0.7963550886,0.79194021395,0.0098480362836,0.0098480362836,0.64558592474,0.0098480362836,0.32306834172,0.087096539244,0.32547369078,0.0098480362836,0.46748447625,0.0098480362836
10,0.1035587303,0.42299637832,0.3436253624,0.0098312946219,0.30204416987,0.13078789763,0.71455691482,0.0098312946219,0.79660059035,0.79224894249,0.0098312946219,0.0098312946219,0.64610200874,0.0098312946219,0.32315054923,0.093899760429,0.32631809725,0.0098312946219,0.46746773459,0.0098312946219
11,0.10501237125,0.42298783325,0.34370423466,0.009814581421,0.30206231893,0.13353027849,0.71466395537,0.009814581421,0.79684567476,0.7925571462,0.009814581421,0.009814581421,0.64626367064,0.009814581421,0.32323261698,0.097121568799,0.32639762476,0.009814581421,0.46745102139,0.009814581421
12,0.10646354101,0.42297930272,0.34378297285,0.0097978966326,0.30208043712,0.1363209091,0.71477081395,0.0097978966326,0.79709034252,0.79286482596,0.0097978966326,0.0097978966326,0.64642505771,0.0097978966326,0.32331454522,0.10044837668,0.32647701708,0.0097978966326,0.4674343366,0.0097978966326
13,0.10791224378,0.42297078668,0.34386157718,0.0097812402084,0.30209852452,0.13916063588,0.71487749086,0.0097812402084,0.79733459435,0.79317198267,0.0097812402084,0.0097812402084,0.64658617042,0.0097812402084,0.32339633418,0.10388259391,0.32655627443,0.0097812402084,0.46741768017,0.0097812402084
14,0.10935848375,0.42296228513,0.34394004788,0.0097646121,0.30211658117,0.14205031853,0.71498398643,0.0097646121,0.79757843094,0.7934786172,0.0097646121,0.0097646121,0.64674700924,0.0097646121,0.3234779841,0.10706100805,0.32663539705,0.0097646121,0.46740105207,0.0097646121
15,0.11080226512,0.42295379802,0.34401838518,0.0097480122594,0.30213460712,0.14499082848,0.71509030096,0.0097480122594,0.79782185302,0.79378473046,0.0097480122594,0.0097480122594,0.64690757464,0.0097480122594,0.32355949521,0.10704516913,0.32671438516,0.0097480122594,0.46738445223,0.0097480122594
