pair,initial_interaction,final_interaction
"(1, 2)",parasitism,parasitism
"(1, 3)",competition,parasitism
"(1, 4)",parasitism,parasitism
"(1, 5)",competition,competition
"(1, 6)",competition,competition
"(1, 7)",competition,competition
"(1, 8)",parasitism,parasitism
"(1, 9)",competition,competition
"(1, 10)",competition,competition
"(1, 11)",parasitism,parasitism
"(1, 12)",parasitism,parasitism
"(1, 13)",competition,parasitism
"(1, 14)",parasitism,parasitism
"(1, 15)",competition,parasitism
"(1, 16)",competition,competition
"(1, 17)",competition,competition
"(1, 18)",parasitism,parasitism
"(1, 19)",amensalism,parasitism
"(1, 20)",parasitism,parasitism
"(2, 3)",parasitism,mutualism
"(2, 4)",mutualism,mutualism
"(2, 5)",parasitism,parasitism
"(2, 6)",parasitism,parasitism
"(2, 7)",parasitism,parasitism
"(2, 8)",mutualism,mutualism
"(2, 9)",parasitism,parasitism
"(2, 10)",parasitism,parasitism
"(2, 11)",mutualism,mutualism
"(2, 12)",mutualism,mutualism
"(2, 13)",parasitism,mutualism
"(2, 14)",parasitism,mutualism
"(2, 15)",parasitism,mutualism
"(2, 16)",parasitism,parasitism
"(2, 17)",parasitism,parasitism
"(2, 18)",mutualism,mutualism
"(2, 19)",parasitism,mutualism
"(2, 20)",parasitism,mutualism
"(3, 4)",mutualism,mutualism
"(3, 5)",amensalism,parasitism
"(3, 6)",competition,parasitism
"(3, 7)",parasitism,parasitism
"(3, 8)",mutualism,mutualism
"(3, 9)",parasitism,parasitism
"(3, 10)",competition,parasitism
"(3, 11)",mutualism,mutualism
"(3, 12)",parasitism,mutualism
"(3, 13)",competition,mutualism
"(3, 14)",parasitism,mutualism
"(3, 15)",competition,mutualism
"(3, 16)",competition,parasitism
"(3, 17)",competition,parasitism
"(3, 18)",parasitism,mutualism
"(3, 19)",parasitism,mutualism
"(3, 20)",parasitism,mutualism
"(4, 5)",parasitism,parasitism
"(4, 6)",parasitism,parasitism
"(4, 7)",parasitism,parasitism
"(4, 8)",mutualism,mutualism
"(4, 9)",parasitism,parasitism
"(4, 10)",parasitism,parasitism
"(4, 11)",mutualism,mutualism
"(4, 12)",mutualism,mutualism
"(4, 13)",mutualism,mutualism
"(4, 14)",mutualism,mutualism
"(4, 15)",mutualism,mutualism
"(4, 16)",parasitism,parasitism
"(4, 17)",parasitism,parasitism
"(4, 18)",mutualism,mutualism
"(4, 19)",mutualism,mutualism
"(4, 20)",mutualism,mutualism
"(5, 6)",competition,competition
"(5, 7)",competition,competition
"(5, 8)",parasitism,parasitism
"(5, 9)",competition,competition
"(5, 10)",competition,competition
"(5, 11)",parasitism,parasitism
"(5, 12)",parasitism,parasitism
"(5, 13)",parasitism,parasitism
"(5, 14)",parasitism,parasitism
"(5, 15)",parasitism,parasitism
"(5, 16)",competition,competition
"(5, 17)",competition,competition
"(5, 18)",parasitism,parasitism
"(5, 19)",parasitism,parasitism
"(5, 20)",parasitism,parasitism
"(6, 7)",competition,competition
"(6, 8)",parasitism,parasitism
"(6, 9)",competition,competition
"(6, 10)",competition,competition
"(6, 11)",parasitism,parasitism
"(6, 12)",parasitism,parasitism
"(6, 13)",parasitism,parasitism
"(6, 14)",parasitism,parasitism
"(6, 15)",amensalism,parasitism
"(6, 16)",competition,competition
"(6, 17)",competition,competition
"(6, 18)",parasitism,parasitism
"(6, 19)",parasitism,parasitism
"(6, 20)",parasitism,parasitism
"(7, 8)",parasitism,parasitism
"(7, 9)",competition,competition
"(7, 10)",competition,competition
"(7, 11)",parasitism,parasitism
"(7, 12)",parasitism,parasitism
"(7, 13)",parasitism,parasitism
"(7, 14)",parasitism,parasitism
"(7, 15)",parasitism,parasitism
"(7, 16)",competition,competition
"(7, 17)",competition,competition
"(7, 18)",parasitism,parasitism
"(7, 19)",parasitism,parasitism
"(7, 20)",parasitism,parasitism
"(8, 9)",parasitism,parasitism
"(8, 10)",parasitism,parasitism
"(8, 11)",mutualism,mutualism
"(8, 12)",mutualism,mutualism
"(8, 13)",mutualism,mutualism
"(8, 14)",mutualism,mutualism
"(8, 15)",mutualism,mutualism
"(8, 16)",parasitism,parasitism
"(8, 17)",parasitism,parasitism
"(8, 18)",mutualism,mutualism
"(8, 19)",mutualism,mutualism
"(8, 20)",mutualism,mutualism
"(9, 10)",competition,competition
"(9, 11)",parasitism,parasitism
"(9, 12)",parasitism,parasitism
"(9, 13)",parasitism,parasitism
"(9, 14)",parasitism,parasitism
"(9, 15)",parasitism,parasitism
"(9, 16)",competition,competition
"(9, 17)",competition,competition
"(9, 18)",parasitism,parasitism
"(9, 19)",parasitism,parasitism
"(9, 20)",parasitism,parasitism
"(10, 11)",parasitism,parasitism
"(10, 12)",parasitism,parasitism
"(10, 13)",parasitism,parasitism
"(10, 14)",parasitism,parasitism
"(10, 15)",competition,parasitism
"(10, 16)",competition,competition
"(10, 17)",competition,competition
"(10, 18)",parasitism,parasitism
"(10, 19)",parasitism,parasitism
"(10, 20)",parasitism,parasitism
"(11, 12)",mutualism,mutualism
"(11, 13)",mutualism,mutualism
"(11, 14)",mutualism,mutualism
"(11, 15)",mutualism,mutualism
"(11, 16)",parasitism,parasitism
"(11, 17)",parasitism,parasitism
"(11, 18)",mutualism,mutualism
"(11, 19)",mutualism,mutualism
"(11, 20)",mutualism,mutualism
"(12, 13)",parasitism,mutualism
"(12, 14)",mutualism,mutualism
