cycle,x,y,species,biomass,seq_num,timestep,species,biomass
0,0,0,model5,0.01,1,0,model5,0.01
1,0,0,model5,0.026970768854,1,1,model5,0.026970768854
2,0,0,model5,0.072741511831,1,2,model5,0.072741511831
3,0,0,model5,0.1961818231,1,3,model5,0.1961818231
4,0,0,model5,0.25588942113,1,4,model5,0.25588942113
5,0,0,model5,0.2983584248,1,5,model5,0.2983584248
6,0,0,model5,0.31531586823,1,6,model5,0.31531586823
7,0,0,model5,0.32218851335,1,7,model5,0.32218851335
8,0,0,model5,0.32268088519,1,8,model5,0.32268088519
9,0,0,model5,0.32316833332,1,9,model5,0.32316833332
10,0,0,model5,0.32365090697,1,10,model5,0.32365090697
11,0,0,model5,0.32412865488,1,11,model5,0.32412865488
12,0,0,model5,0.32460162531,1,12,model5,0.32460162531
13,0,0,model5,0.32506986603,1,13,model5,0.32506986603
14,0,0,model5,0.32553342435,1,14,model5,0.32553342435
15,0,0,model5,0.3259921668,1,15,model5,0.3259921668
16,0,0,model5,0.32644295092,1,16,model5,0.32644295092
17,0,0,model5,0.3268892272,1,17,model5,0.3268892272
18,0,0,model5,0.32733104071,1,18,model5,0.32733104071
19,0,0,model5,0.32776843609,1,19,model5,0.32776843609
20,0,0,model5,0.32820145752,1,20,model5,0.32820145752
21,0,0,model5,0.32863014873,1,21,model5,0.32863014873
22,0,0,model5,0.32905455303,1,22,model5,0.32905455303
23,0,0,model5,0.32947471329,1,23,model5,0.32947471329
24,0,0,model5,0.32989067194,1,24,model5,0.32989067194
25,0,0,model5,0.33030247101,1,25,model5,0.33030247101
26,0,0,model5,0.33071015208,1,26,model5,0.33071015208
27,0,0,model5,0.33111375635,1,27,model5,0.33111375635
28,0,0,model5,0.33151332457,1,28,model5,0.33151332457
29,0,0,model5,0.33190889712,1,29,model5,0.33190889712
30,0,0,model5,0.33230051393,1,30,model5,0.33230051393
31,0,0,model5,0.33268821458,1,31,model5,0.33268821458
32,0,0,model5,0.33307203822,1,32,model5,0.33307203822
33,0,0,model5,0.33345202363,1,33,model5,0.33345202363
34,0,0,model5,0.33382820918,1,34,model5,0.33382820918
35,0,0,model5,0.33420063287,1,35,model5,0.33420063287
36,0,0,model5,0.33456933233,1,36,model5,0.33456933233
