cycle,x,y,species,biomass,seq_num
0,0,0,model4,0.01,1
1,0,0,model4,0.026970768854,1
2,0,0,model4,0.072741511831,1
3,0,0,model4,0.1961818231,1
4,0,0,model4,0.25588942113,1
5,0,0,model4,0.2983584248,1
6,0,0,model4,0.31531586823,1
7,0,0,model4,0.32218851335,1
8,0,0,model4,0.32268088519,1
9,0,0,model4,0.32316833332,1
10,0,0,model4,0.32365090697,1
11,0,0,model4,0.32412865488,1
12,0,0,model4,0.32460162531,1
13,0,0,model4,0.32506986603,1
14,0,0,model4,0.32553342435,1
15,0,0,model4,0.3259921668,1
16,0,0,model4,0.32644295092,1
17,0,0,model4,0.3268892272,1
18,0,0,model4,0.32733104071,1
19,0,0,model4,0.32776843609,1
20,0,0,model4,0.32820145752,1
21,0,0,model4,0.32863014873,1
22,0,0,model4,0.32905455303,1
23,0,0,model4,0.32947471329,1
24,0,0,model4,0.32989067194,1
25,0,0,model4,0.33030247101,1
26,0,0,model4,0.33071015208,1
27,0,0,model4,0.33111375635,1
28,0,0,model4,0.33151332457,1
29,0,0,model4,0.33190889712,1
30,0,0,model4,0.33230051393,1
31,0,0,model4,0.33268821458,1
32,0,0,model4,0.33307203822,1
33,0,0,model4,0.33345202363,1
34,0,0,model4,0.33382820918,1
35,0,0,model4,0.33420063287,1
36,0,0,model4,0.33456933233,1
37,0,0,model4,0.33493434479,1
38,0,0,model4,0.33529570713,1
39,0,0,model4,0.33565345585,1
40,0,0,model4,0.33600762708,1
0,0,0,model16,0.01,2
0,0,0,model4,0.33600762708,2
1,0,0,model16,0.012112259723,2
1,0,0,model4,0.33264755081,2
2,0,0,model16,0.013331699988,2
2,0,0,model4,0.3293210753,2
3,0,0,model16,0.015522376298,2
3,0,0,model4,0.32602786455,2
4,0,0,model16,0.015421068247,2
4,0,0,model4,0.3227675859,2
5,0,0,model16,0.015320773276,2
5,0,0,model4,0.31953991004,2
6,0,0,model16,0.015221481254,2
6,0,0,model4,0.31634451094,2
7,0,0,model16,0.015123182153,2
7,0,0,model4,0.31318106583,2
8,0,0,model16,0.015025866043,2
8,0,0,model4,0.31004925518,2
9,0,0,model16,0.014929523093,2
9,0,0,model4,0.30694876262,2
10,0,0,model16,0.014834143574,2
10,0,0,model4,0.303879275,2
11,0,0,model16,0.014739717849,2
11,0,0,model4,0.30084048225,2
12,0,0,model16,0.014646236382,2
12,0,0,model4,0.29783207742,2
13,0,0,model16,0.01455368973,2
13,0,0,model4,0.29485375665,2
14,0,0,model16,0.014462068544,2
14,0,0,model4,0.29190521908,2
15,0,0,model16,0.014371363569,2
15,0,0,model4,0.28898616689,2
16,0,0,model16,0.014281565645,2
16,0,0,model4,0.28609630522,2
17,0,0,model16,0.0141926657,2
17,0,0,model4,0.28323534217,2
18,0,0,model16,0.014104654754,2
18,0,0,model4,0.28040298875,2
19,0,0,model16,0.014017523918,2
19,0,0,model4,0.27759895886,2
20,0,0,model16,0.01393126439,2
20,0,0,model4,0.27482296927,2
21,0,0,model16,0.013845867457,2
21,0,0,model4,0.27207473958,2
22,0,0,model16,0.013761324494,2
22,0,0,model4,0.26935399219,2
23,0,0,model16,0.01367762696,2
23,0,0,model4,0.26666045226,2
24,0,0,model16,0.013594766402,2
24,0,0,model4,0.26399384774,2
25,0,0,model16,0.013512734449,2
25,0,0,model4,0.26135390926,2
26,0,0,model16,0.013431522816,2
26,0,0,model4,0.25874037017,2
27,0,0,model16,0.013351123299,2
27,0,0,model4,0.25615296647,2
28,0,0,model16,0.013271527778,2
28,0,0,model4,0.2535914368,2
29,0,0,model16,0.013192728211,2
29,0,0,model4,0.25105552244,2
30,0,0,model16,0.01311471664,2
30,0,0,model4,0.24854496721,2
31,0,0,model16,0.013037485185,2
31,0,0,model4,0.24605951754,2
32,0,0,model16,0.012961026045,2
32,0,0,model4,0.24359892236,2
33,0,0,model16,0.012885331495,2
33,0,0,model4,0.24116293314,2
34,0,0,model16,0.012810393892,2
34,0,0,model4,0.23875130381,2
35,0,0,model16,0.012736205664,2
35,0,0,model4,0.23636379077,2
36,0,0,model16,0.012662759319,2
36,0,0,model4,0.23400015286,2
37,0,0,model16,0.012590047437,2
37,0,0,model4,0.23166015134,2
38,0,0,model16,0.012518062674,2
38,0,0,model4,0.22934354982,2
39,0,0,model16,0.012446797758,2
39,0,0,model4,0.22705011432,2
40,0,0,model16,0.012376245492,2
40,0,0,model4,0.22477961318,2
0,0,0,model10,0.01,3
0,0,0,model4,0.22477961318,3
0,0,0,model16,0.012376245492,3
1,0,0,model10,0.0099142520552,3
1,0,0,model4,0.22253181705,3
1,0,0,model16,0.012288426845,3
2,0,0,model10,0.0098151095347,3
2,0,0,model4,0.39060192886,3
2,0,0,model16,0.012165542576,3
3,0,0,model10,0.0097169584393,3
3,0,0,model4,0.439027839,3
3,0,0,model16,0.01204388715,3
4,0,0,model10,0.0096197888549,3
4,0,0,model4,0.48648522674,3
4,0,0,model16,0.011923448279,3
5,0,0,model10,0.0095235909664,3
5,0,0,model4,0.53298857764,3
5,0,0,model16,0.011804213796,3
6,0,0,model10,0.0094283550567,3
6,0,0,model4,0.57855218186,3
6,0,0,model16,0.011686171658,3
7,0,0,model10,0.0093340715061,3
7,0,0,model4,0.62319013638,3
7,0,0,model16,0.011569309942,3
8,0,0,model10,0.0092407307911,3
8,0,0,model4,0.66691634717,3
