,cycle,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49,model50,model51,model52,model53,model54,model55,model56,model57,model58,model59,model60,model61,model62,model63,model64,model65,model66,model67,model68,model69,model70,model71,model72,model73,model74,model75,model76,model77,model78,model79,model80,model81,model82,model83,model84,model85,model86,model87,model88,model89,model90,model91,model92,model93,model94,model95,model96,model97,model98,model99,model100
0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1,1,0.10683309825,0.10649580774,0.12659066368,0.11974300294,0.09983,0.15270854492,0.09983,0.09983,0.09983,0.09983,0.09983,0.09983,0.09983,0.09983,0.09983,0.09983,0.09983,0.16450520375,0.09983,0.17398997243,0.11073256123,0.09983,0.10545529146,0.11872073814,0.1760749853,0.16120434402,0.09983,0.09983,0.09983,0.09983,0.09983,0.09983,0.09983,0.09983,0.09983,0.09983,0.17255634428,0.09983,0.25603221085,0.09983,0.19501046427,0.09983,0.09983,0.14754867802,0.09983,0.13858366299,0.20175995376,0.14428188394,0.15089503859,0.09983,0.09983,0.17854403969,0.12419946607,0.31612099046,0.09983,0.09983,0.09983,0.09983,0.09983,0.09983,0.09983,0.09983,0.09983,0.09983,0.09983,0.09983,0.09983,0.15499526019,0.09983,0.09983,0.24739052927,0.19506838872,0.11519068506,0.30525515769,0.14244138559,0.1024282012,0.13488797962,0.18113753559,0.12113051393,0.09983,0.20765948196,0.15357694914,0.09983,0.27443292363,0.09983,0.10153081963,0.09983,0.09983,0.09983,0.14849005638,0.09983,0.09983,0.09983,0.09983,0.09983,0.09983,0.09983,0.15912564436,0.09983,0.2861149365
2,2,0.11413310882,0.11341357066,0.14008629456,0.12031238226,0.099660289,0.2017091709,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.1955850198,0.099660289,0.22631918712,0.11833274375,0.099660289,0.10922071729,0.1338693095,0.1759052743,0.16294432905,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.19002322863,0.099660289,0.41572324798,0.099660289,0.24491267936,0.099660289,0.099660289,0.17270725976,0.099660289,0.13911257384,0.20417005772,0.17665651263,0.15111521773,0.099660289,0.099660289,0.2436413048,0.13203754487,0.55370140715,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.20420577334,0.099660289,0.099660289,0.24754443009,0.29962518974,0.11502097406,0.30795332121,0.15651622642,0.10491536402,0.13932924442,0.196679901,0.13086617177,0.099660289,0.2078601178,0.15389718415,0.099660289,0.39873396969,0.099660289,0.10272555515,0.099660289,0.099660289,0.099660289,0.20681797902,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.099660289,0.20651802976,0.099660289,0.34914867478
3,3,0.12193193628,0.12078069816,0.14175274379,0.12088079364,0.099490866509,0.26428571346,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.23252201058,0.099490866509,0.29320820377,0.12451438653,0.099490866509,0.110939638,0.15047566659,0.17573585181,0.16329877752,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.2092460613,0.099490866509,0.52013740289,0.099490866509,0.30002431199,0.099490866509,0.099490866509,0.20214510289,0.099490866509,0.13964058553,0.20657606451,0.17790697702,0.15133502257,0.099490866509,0.099490866509,0.32505267193,0.14004524607,0.64708812951,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.26584570695,0.099490866509,0.099490866509,0.24769806928,0.41094372542,0.11485155157,0.31064689786,0.1719708927,0.10606044084,0.14338022974,0.19973841475,0.13661324817,0.099490866509,0.20806041256,0.15421687476,0.099490866509,0.45078055436,0.099490866509,0.10393434229,0.099490866509,0.099490866509,0.099490866509,0.28588310544,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.099490866509,0.26633453801,0.099490866509,0.34897925229
4,4,0.13026366528,0.1286263801,0.14341636005,0.12144823873,0.099321732036,0.28289923189,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.24253696216,0.099321732036,0.30015853844,0.13101776195,0.099321732036,0.11265563654,0.16889769324,0.17556671734,0.16365262343,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.21694307267,0.099321732036,0.52589838819,0.099321732036,0.31250999341,0.099321732036,0.099321732036,0.21646144301,0.099321732036,0.14016769961,0.20777566566,0.17915531562,0.15155445374,0.099321732036,0.099321732036,0.33626363069,0.14843511767,0.64823702119,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.26705365534,0.099321732036,0.099321732036,0.24785144728,0.41816972587,0.11468241709,0.31333589543,0.17867174959,0.1068350532,0.14676458428,0.19996282611,0.14260919508,0.099321732036,0.20826036682,0.1545360219,0.099321732036,0.45489217217,0.099321732036,0.10515734632,0.099321732036,0.099321732036,0.099321732036,0.30437570527,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.099321732036,0.28786917129,0.099321732036,0.34881011782
5,5,0.13559590012,0.13376757485,0.14507714817,0.12201471915,0.099152885091,0.28815471563,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.24240160657,0.099152885091,0.30263455272,0.13341253908,0.099152885091,0.11436871789,0.16872916228,0.17539787039,0.1640058678,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.22153526785,0.099152885091,0.52576983363,0.099152885091,0.31419753261,0.099152885091,0.099152885091,0.21629747559,0.099152885091,0.1406939176,0.2081869501,0.18040153204,0.15177351188,0.099152885091,0.099152885091,0.33802929696,0.15039751104,0.64811942786,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.26825955021,0.099152885091,0.099152885091,0.24800456454,0.41802487005,0.11451357015,0.31602032171,0.1790407395,0.10744987031,0.14747636368,0.19979689884,0.14304528598,0.099152885091,0.20845998115,0.15485462649,0.099152885091,0.45473537227,0.099152885091,0.10612855139,0.099152885091,0.099152885091,0.099152885091,0.30531436874,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.099152885091,0.28928438962,0.099152885091,0.34864127087
6,6,0.1377537381,0.13577228371,0.14673511294,0.12258023656,0.098984325187,0.28985041386,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.24226648109,0.098984325187,0.30249724964,0.13324733692,0.098984325187,0.11465991218,0.16856091784,0.17522931049,0.16435851165,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.22156658244,0.098984325187,0.52564149761,0.098984325187,0.3142662255,0.098984325187,0.098984325187,0.21613378691,0.098984325187,0.14121924101,0.20859753535,0.18164562989,0.15199219761,0.098984325187,0.098984325187,0.33786212101,0.15173056895,0.64800203444,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.26814002659,0.098984325187,0.098984325187,0.2481574215,0.41786909059,0.11434501024,0.31870018445,0.17940910212,0.10728159651,0.14731132721,0.19963125364,0.14289762179,0.098984325187,0.20865925614,0.15517268945,0.098984325187,0.45457883894,0.098984325187,0.10596034539,0.098984325187,0.098984325187,0.098984325187,0.30579718383,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.098984325187,0.29069720209,0.098984325187,0.34847271097
7,7,0.13764758543,0.13780541793,0.14839025918,0.12314479258,0.098816051834,0.29155398735,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.24213158531,0.098816051834,0.30236017997,0.13308241561,0.098816051834,0.11449808665,0.1683929594,0.17506103714,0.16471055601,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.22140125582,0.098816051834,0.52551337976,0.098816051834,0.31415953752,0.098816051834,0.098816051834,0.2159703765,0.098816051834,0.14174367137,0.20900742262,0.18288761278,0.15221051159,0.098816051834,0.098816051834,0.33769522926,0.15307468934,0.64788484059,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.26801787182,0.098816051834,0.098816051834,0.2483100186,0.41771357595,0.11417673689,0.32137549144,0.17977683852,0.10711360878,0.14714657131,0.19946589004,0.14275020862,0.098816051834,0.20885819237,0.1554902117,0.098816051834,0.45441542327,0.098816051834,0.10579242534,0.098816051834,0.098816051834,0.098816051834,0.30628019219,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.098816051834,0.29210761277,0.098816051834,0.34830443761
8,8,0.13754161322,0.13801262851,0.15004259166,0.12370838887,0.098648064546,0.29326547266,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.24199691886,0.098648064546,0.30222334333,0.13291777466,0.098648064546,0.11433653623,0.1682252865,0.17489304985,0.16500262519,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.22123621024,0.098648064546,0.52538547971,0.098648064546,0.3140530309,0.098648064546,0.098648064546,0.21580724389,0.098648064546,0.1422672102,0.20941661307,0.1841274843,0.15242845442,0.098648064546,0.098648064546,0.33752862122,0.15442107105,0.64776784596,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.26789592471,0.098648064546,0.098648064546,0.24846235629,0.41755832569,0.1140087496,0.3240462504,0.18014394978,0.10694590663,0.14698209549,0.19930080756,0.14260304605,0.098648064546,0.2090567904,0.15580719417,0.098648064546,0.45425216134,0.098648064546,0.10562479075,0.098648064546,0.098648064546,0.098648064546,0.30676339389,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.098648064546,0.29351562575,0.098648064546,0.34813645033
9,9,0.13743582117,0.13785798021,0.15169211518,0.12427102703,0.098480362836,0.29498490654,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.24186248135,0.098480362836,0.3020867393,0.13275341361,0.098480362836,0.11417526044,0.16805789864,0.17472534814,0.16504897941,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.22107144525,0.098480362836,0.5252577971,0.098480362836,0.31394670535,0.098480362836,0.098480362836,0.21564438861,0.098480362836,0.14278985902,0.2098251079,0.18536524803,0.15264602676,0.098480362836,0.098480362836,0.33736229641,0.15457574624,0.64765105023,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.26777418491,0.098480362836,0.098480362836,0.248614435,0.41740333936,0.11384104789,0.32671246906,0.18037215201,0.10677848957,0.14681789928,0.19913600572,0.14245613366,0.098480362836,0.20925505081,0.15612363776,0.098480362836,0.45408917695,0.098480362836,0.10545744114,0.098480362836,0.098480362836,0.098480362836,0.30724678902,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.098480362836,0.29492124512,0.098480362836,0.34796874862
