,model1,model2,phylum1,phylum2,jaccard_distance
4320,65,66,Firmicutes,Firmicutes,0.0037037037037036535
4355,66,67,Firmicutes,Firmicutes,0.014032496307237796
4321,65,67,Firmicutes,Firmicutes,0.01624815361890697
3180,41,42,Firmicutes,Firmicutes,0.05319148936170215
3675,50,51,Actinobacteria,Actinobacteria,0.09442622950819668
197,3,4,Proteobacteria,Proteobacteria,0.1300863131935882
4907,91,94,Firmicutes,Firmicutes,0.1338842975206611
0,1,2,Firmicutes,Firmicutes,0.1610517666392769
3466,46,48,Fusobacteria,Fusobacteria,0.1741253051261188
4908,91,95,Firmicutes,Firmicutes,0.17866435385949697
4571,72,100,Proteobacteria,Proteobacteria,0.18385650224215244
3073,39,54,Proteobacteria,Proteobacteria,0.1917808219178082
4675,77,79,Bacteroidetes,Bacteroidetes,0.19514237855946404
3572,48,49,Fusobacteria,Fusobacteria,0.20080645161290323
4905,91,92,Firmicutes,Firmicutes,0.202172096908939
1678,19,69,Actinobacteria,Actinobacteria,0.20454545454545459
4916,92,95,Firmicutes,Firmicutes,0.2090592334494773
1947,23,24,Proteobacteria,Proteobacteria,0.21233411397345825
4929,94,95,Firmicutes,Firmicutes,0.22057613168724277
3467,46,49,Fusobacteria,Fusobacteria,0.2271986970684039
4915,92,94,Firmicutes,Firmicutes,0.2273819055244195
3821,52,100,Proteobacteria,Proteobacteria,0.2368686868686869
786,9,32,Firmicutes,Firmicutes,0.23959938366718025
2615,32,44,Firmicutes,Firmicutes,0.24056999161777037
3793,52,72,Proteobacteria,Proteobacteria,0.24856994279771194
3091,39,72,Proteobacteria,Proteobacteria,0.2525448376151236
277,3,84,Proteobacteria,Proteobacteria,0.25427350427350426
2883,36,50,Actinobacteria,Actinobacteria,0.2557077625570776
4740,80,81,Bacteroidetes,Bacteroidetes,0.2559241706161137
3119,39,100,Proteobacteria,Proteobacteria,0.26119402985074625
2884,36,51,Actinobacteria,Actinobacteria,0.2622739018087855
1616,18,88,Firmicutes,Firmicutes,0.26292725679228746
855,10,11,Firmicutes,Firmicutes,0.2639250390421656
373,4,84,Proteobacteria,Proteobacteria,0.26469002695417787
2118,25,44,Firmicutes,Firmicutes,0.2716914986853637
562,6,84,Proteobacteria,Proteobacteria,0.27757638529259454
4090,59,61,Firmicutes,Firmicutes,0.2776978417266187
1210,14,16,Actinobacteria,Actinobacteria,0.2785588752196837
1644,19,35,Actinobacteria,Actinobacteria,0.2823608316566063
199,3,6,Proteobacteria,Proteobacteria,0.28415300546448086
3136,40,57,Firmicutes,Firmicutes,0.2882392929979606
2106,25,32,Firmicutes,Firmicutes,0.2883986928104575
1295,15,16,Actinobacteria,Actinobacteria,0.2893716058960435
2982,37,86,Bacteroidetes,Bacteroidetes,0.29200463499420626
1763,20,74,Proteobacteria,Proteobacteria,0.29376257545271633
3923,55,64,Firmicutes,Firmicutes,0.296046287367406
295,4,6,Proteobacteria,Proteobacteria,0.2979074889867841
4091,59,62,Firmicutes,Firmicutes,0.2982998454404946
1874,22,28,Firmicutes,Firmicutes,0.30037174721189586
3465,46,47,Fusobacteria,Fusobacteria,0.30152143845089907
403,5,19,Actinobacteria,Actinobacteria,0.3028074866310161
3520,47,49,Fusobacteria,Fusobacteria,0.30347222222222225
1773,20,84,Proteobacteria,Proteobacteria,0.30430528375733856
2805,35,36,Actinobacteria,Actinobacteria,0.30431754874651806
3914,54,100,Proteobacteria,Proteobacteria,0.30651989839119387
3693,50,69,Actinobacteria,Actinobacteria,0.3093788063337394
3742,51,69,Actinobacteria,Actinobacteria,0.3099273607748184
1659,19,50,Actinobacteria,Actinobacteria,0.3101991550995775
1660,19,51,Actinobacteria,Actinobacteria,0.3107378524295141
1889,22,43,Firmicutes,Firmicutes,0.31075110456553756
4608,74,84,Proteobacteria,Proteobacteria,0.3125312031952072
3964,56,61,Firmicutes,Firmicutes,0.3128061581525542
4427,68,74,Proteobacteria,Proteobacteria,0.31410916580844495
4555,72,84,Proteobacteria,Proteobacteria,0.31497584541062806
265,3,72,Proteobacteria,Proteobacteria,0.3153061224489796
4171,61,63,Firmicutes,Firmicutes,0.3165467625899281
3519,47,48,Fusobacteria,Fusobacteria,0.3165660630449363
453,5,69,Actinobacteria,Actinobacteria,0.3165997322623829
1535,17,89,Actinobacteria,Actinobacteria,0.32134096484055596
4437,68,84,Proteobacteria,Proteobacteria,0.32180451127819554
1645,19,36,Actinobacteria,Actinobacteria,0.32316677482154443
4174,61,66,Firmicutes,Firmicutes,0.323943661971831
2838,35,69,Actinobacteria,Actinobacteria,0.3243064729194187
4454,69,70,Actinobacteria,Actinobacteria,0.3247457627118644
4131,60,62,Firmicutes,Firmicutes,0.32528301886792454
1679,19,70,Actinobacteria,Actinobacteria,0.325503355704698
4173,61,65,Firmicutes,Firmicutes,0.3258642765685019
3805,52,84,Proteobacteria,Proteobacteria,0.3263052208835341
1209,14,15,Actinobacteria,Actinobacteria,0.32755905511811023
3965,56,62,Firmicutes,Firmicutes,0.3278070836473248
1554,18,26,Firmicutes,Firmicutes,0.3285024154589372
798,9,44,Firmicutes,Firmicutes,0.32921174652241114
4175,61,67,Firmicutes,Firmicutes,0.32970550576184376
3962,56,59,Firmicutes,Firmicutes,0.3306332842415317
3886,54,72,Proteobacteria,Proteobacteria,0.3317555938037866
1757,20,68,Proteobacteria,Proteobacteria,0.33333333333333337
552,6,74,Proteobacteria,Proteobacteria,0.3340163934426229
1096,12,75,Bacteroidetes,Bacteroidetes,0.3341885824246311
4708,78,90,Bacteroidetes,Proteobacteria,0.3351335133513351
4829,84,100,Proteobacteria,Proteobacteria,0.33594470046082947
1103,12,82,Bacteroidetes,Bacteroidetes,0.33648255813953487
4049,58,61,Firmicutes,Firmicutes,0.33700440528634357
2162,25,88,Firmicutes,Firmicutes,0.337248322147651
3121,40,42,Firmicutes,Firmicutes,0.3373493975903614
2104,25,30,Firmicutes,Firmicutes,0.33817903596021426
4172,61,64,Firmicutes,Firmicutes,0.3388931008339652
4089,59,60,Firmicutes,Firmicutes,0.3391941391941392
3397,44,88,Firmicutes,Firmicutes,0.3394648829431438
245,3,52,Proteobacteria,Proteobacteria,0.3396624472573839
2839,35,70,Actinobacteria,Actinobacteria,0.3397027600849257
