model1,model2,phylum1,phylum2,jaccard_distance,category,interaction0-50,interaction100-150,interaction200-250,interaction300-350,interaction400-450,community_level_interaction
65,66,Firmicutes,Firmicutes,0.0037037037037036,low,neutralism,neutralism,neutralism,neutralism,neutralism,neutral
66,67,Firmicutes,Firmicutes,0.0140324963072377,low,neutralism,neutralism,neutralism,neutralism,neutralism,neutral
41,42,Firmicutes,Firmicutes,0.0531914893617021,low,amensalism,amensalism,amensalism,amensalism,amensalism,antagonistic interaction
50,51,Actinobacteria,Actinobacteria,0.0944262295081966,low,neutralism,neutralism,neutralism,neutralism,neutralism,neutral
3,4,Proteobacteria,Proteobacteria,0.130086313193588,low,amensalism,competition,competition,competition,competition,antagonistic interaction
91,94,Firmicutes,Firmicutes,0.133884297520661,low,neutralism,neutralism,commensalism,commensalism,commensalism,synergistic interaction
46,48,Fusobacteria,Fusobacteria,0.174125305126119,low,amensalism,competition,competition,competition,competition,antagonistic interaction
72,100,Proteobacteria,Proteobacteria,0.183856502242152,low,amensalism,amensalism,amensalism,amensalism,amensalism,antagonistic interaction
39,54,Proteobacteria,Proteobacteria,0.191780821917808,low,competition,competition,competition,competition,competition,antagonistic interaction
77,79,Bacteroidetes,Bacteroidetes,0.195142378559464,low,amensalism,amensalism,amensalism,amensalism,amensalism,antagonistic interaction
48,49,Fusobacteria,Fusobacteria,0.200806451612903,low,competition,competition,competition,competition,competition,antagonistic interaction
91,92,Firmicutes,Firmicutes,0.202172096908939,low,neutralism,neutralism,neutralism,neutralism,neutralism,neutral
19,69,Actinobacteria,Actinobacteria,0.204545454545455,low,neutralism,neutralism,neutralism,neutralism,neutralism,neutral
92,95,Firmicutes,Firmicutes,0.209059233449477,low,neutralism,commensalism,commensalism,commensalism,commensalism,synergistic interaction
23,24,Proteobacteria,Proteobacteria,0.212334113973458,low,neutralism,neutralism,neutralism,amensalism,amensalism,antagonistic interaction
46,49,Fusobacteria,Fusobacteria,0.227198697068404,low,neutralism,competition,competition,competition,competition,antagonistic interaction
52,100,Proteobacteria,Proteobacteria,0.236868686868687,low,competition,competition,competition,competition,competition,antagonistic interaction
9,32,Firmicutes,Firmicutes,0.23959938366718,low,neutralism,neutralism,neutralism,neutralism,neutralism,neutral
32,44,Firmicutes,Firmicutes,0.24056999161777,low,neutralism,neutralism,neutralism,neutralism,neutralism,neutral
52,72,Proteobacteria,Proteobacteria,0.248569942797712,low,competition,competition,competition,competition,competition,antagonistic interaction
32,61,Firmicutes,Firmicutes,0.452535760728218,medium,neutralism,neutralism,neutralism,neutralism,neutralism,neutral
8,59,Firmicutes,Firmicutes,0.453333333333333,medium,neutralism,neutralism,neutralism,neutralism,neutralism,neutral
32,42,Firmicutes,Firmicutes,0.458,medium,neutralism,neutralism,neutralism,neutralism,neutralism,neutral
