idx1,idx2,idx3,Common_growth_anaer,M1growth_anaer,M2growth_anaer,M3growth_anaer,M1growth_mono,M2growth_mono,M3growth_mono,alpha1,alpha2,alpha3,interaction_type12,interaction_type13,interaction_type23,int_subclass12_1,int_subclass12_2,int_subclass13_1,int_subclass13_3,int_subclass23_2,int_subclass23_3
1,2,3,0.772202525987291,0.032354946452693,0.0444982029491487,0.695349376585449,0.215420245702852,0.444713807368828,0.394306174753815,-84.9805451910388,-89.9939686576352,76.3475748305466,competition,parasitism,parasitism,,,parasitism_giver,parasitism_taker,parasitism_giver,parasitism_taker
1,2,4,0.798320183278336,0.028970581648058,0.0578922166203525,0.711457385009926,0.215420245702852,0.444713807368828,0.549020949342608,-86.5515975281081,-86.9821409497324,29.5865642033911,competition,parasitism,parasitism,,,parasitism_giver,parasitism_taker,parasitism_giver,parasitism_taker
1,2,5,0.98496964869791,0.129258660838987,0.57933086507968,0.276380122779243,0.215420245702852,0.444713807368828,0.34770934726804,-39.9969764135889,30.2704920513535,-20.5140370971423,parasitism,competition,parasitism,parasitism_giver,parasitism_taker,,,parasitism_taker,parasitism_giver
1,2,6,0.723473780346528,0.272367902595831,0.339362907626577,0.111742970124121,0.215420245702852,0.444713807368828,0.205555081426788,26.4356104075436,-23.6895949702045,-45.6384296858553,parasitism,parasitism,competition,parasitism_taker,parasitism_giver,parasitism_taker,parasitism_giver,,
1,2,7,1.11987401875666,0.324235749164347,0.0140689411031015,0.781569328489215,0.215420245702852,0.444713807368828,0.84573414664807,50.5131275412219,-96.8364056006399,-7.58687802936206,parasitism,commensalism,amensalism,parasitism_taker,parasitism_giver,commensal_taker,commensal_unaffected,amensal_affected,amensal_unaffected
1,2,8,1.02942388356665,0.374769656268624,0.147266841607179,0.507387385690842,0.215420245702852,0.444713807368828,0.832166726381869,73.9714180744074,-66.8850305146829,-39.0281575067435,parasitism,parasitism,competition,parasitism_taker,parasitism_giver,parasitism_taker,parasitism_giver,,
1,2,9,1.65953546123784,0.211930127364746,0.619224256304797,0.828381077568294,0.215420245702852,0.444713807368828,0.952665342434461,-1.62014407082242,39.241068310532,-13.0459521649616,commensalism,amensalism,parasitism,commensal_unaffected,commensal_taker,amensal_unaffected,amensal_affected,parasitism_taker,parasitism_giver
1,2,10,1.65193634787641,0.0330148778440568,0.260085860218388,1.35883560981396,0.215420245702852,0.444713807368828,0.939573486542583,-84.6741991513662,-41.5161265720083,44.6226004965473,competition,parasitism,parasitism,,,parasitism_giver,parasitism_taker,parasitism_giver,parasitism_taker
1,2,11,1.36441638186649,0.767771110392923,0.0912624842647037,0.505382787208859,0.215420245702852,0.444713807368828,0.387329406963381,256.406199374583,-79.4783785093917,30.4788064430747,parasitism,mutualism,parasitism,parasitism_taker,parasitism_giver,,,parasitism_giver,parasitism_taker
1,2,12,1.17996920761329,0.512208184846355,0.2339895611108,0.433771461656131,0.215420245702852,0.444713807368828,0.376390980452092,137.771609244606,-47.3842374053526,15.2449139814983,parasitism,mutualism,parasitism,parasitism_taker,parasitism_giver,,,parasitism_giver,parasitism_taker
1,2,13,1.38901367765996,0.0903700655763887,0.31678791824645,0.981855693837118,0.215420245702852,0.444713807368828,0.813709797074609,-58.0494092922705,-28.7658910073554,20.6641111323736,competition,parasitism,parasitism,,,parasitism_giver,parasitism_taker,parasitism_giver,parasitism_taker
1,2,14,0.901252285386412,0.275339260685384,0.298986002881301,0.326927021819727,0.215420245702852,0.444713807368828,0.216240229208626,27.8149413426924,-32.7688958770434,51.1869567546159,parasitism,mutualism,parasitism,parasitism_taker,parasitism_giver,,,parasitism_giver,parasitism_taker
1,2,15,0.741506605327391,0.204870008777897,0.258717026894655,0.277919569654838,0.215420245702852,0.444713807368828,0.413000849276959,-4.89751410807865,-41.8239275219792,-32.7072643697,amensalism,amensalism,competition,amensal_unaffected,amensal_affected,amensal_unaffected,amensal_affected,,
1,2,16,0.827616014513352,0.520345509418254,0.222851059340958,0.0844194457541403,0.215420245702852,0.444713807368828,0.115216765273805,141.549027910781,-49.8888823219886,-26.7298942532165,parasitism,parasitism,competition,parasitism_taker,parasitism_giver,parasitism_taker,parasitism_giver,,
1,2,17,0.835328186849513,0.485718717701152,0.0895446839956388,0.260064785152722,0.215420245702852,0.444713807368828,0.417718551870375,125.474962261043,-79.8646494640149,-37.7416243572959,parasitism,parasitism,competition,parasitism_taker,parasitism_giver,parasitism_taker,parasitism_giver,,
1,2,18,0.896573109038857,0.268919833630055,0.295733126724318,0.331920148684485,0.215420245702852,0.444713807368828,0.172286618737597,24.8349860305145,-33.5003497026462,92.6557913299226,parasitism,mutualism,parasitism,parasitism_taker,parasitism_giver,,,parasitism_giver,parasitism_taker
1,2,19,3.69430147840098,0,-1.6774114382254e-13,3.69430147840115,0.215420245702852,0.444713807368828,0.45763863899884,-100,-100.000000000038,707.252964147223,competition,parasitism,parasitism,,,parasitism_giver,parasitism_taker,parasitism_giver,parasitism_taker
